Cboe data is compiled for the convenience of site visitors and is furnished without responsibility for accuracy and is accepted by the site visitor on the condition that transmission or omissions shall not be made the basis for any claim demand or cause for action.  Your use of Cboe data is subject to the Terms and Conditions of Cboe Websites.,,,,
"*On April 20, 2011, the calculation of the VXST was based solely on 30-day (5/21/11 exp. date) SPX options since SPXW options were not available on that date.",,,,
VIX9D,,,,
Date,Open,High,Low,Close
08/19/2014, 11.58, 11.97, 10.90, 11.00
08/20/2014, 11.20, 11.31, 10.32, 10.80
08/21/2014, 11.04, 11.40, 10.77, 10.94
08/22/2014, 11.01, 12.20, 10.08, 10.08
08/25/2014, 10.26, 10.74, 10.10, 10.42
08/26/2014, 10.30, 10.51, 9.85, 10.14
08/27/2014, 9.99, 10.45, 9.81, 9.89
08/28/2014, 10.81, 11.46, 10.27, 10.34
08/29/2014, 10.23, 11.11, 9.89, 10.00
09/02/2014, 10.80, 11.43, 10.20, 10.32
09/03/2014, 9.85, 11.03, 9.85, 10.83
09/04/2014, 10.87, 12.31, 10.22, 11.80
09/05/2014, 11.20, 12.20, 10.26, 10.27
09/08/2014, 12.42, 12.55, 11.66, 12.05
09/09/2014, 12.72, 14.08, 12.21, 13.33
09/10/2014, 13.94, 14.64, 12.71, 12.74
09/11/2014, 14.15, 14.16, 12.05, 12.07
09/12/2014, 12.15, 15.09, 12.15, 13.28
09/15/2014, 14.58, 15.71, 14.56, 15.27
09/16/2014, 16.25, 16.29, 13.12, 13.21
09/17/2014, 13.10, 14.04, 10.62, 11.81
09/18/2014, 11.32, 11.52, 10.85, 11.05
09/19/2014, 10.09, 11.56, 10.02, 10.41
09/22/2014, 12.39, 14.15, 12.39, 13.46
09/23/2014, 15.06, 15.70, 13.59, 15.60
09/24/2014, 14.83, 15.64, 12.56, 12.89
09/25/2014, 13.62, 17.85, 13.57, 15.94
09/26/2014, 15.82, 16.46, 13.46, 15.04
09/29/2014, 19.24, 19.40, 15.62, 16.11
09/30/2014, 15.86, 17.36, 14.96, 16.76
10/01/2014, 16.92, 18.67, 16.16, 16.72
10/02/2014, 16.91, 18.64, 15.73, 15.93
10/03/2014, 14.43, 15.04, 13.81, 13.86
10/06/2014, 14.12, 16.14, 13.99, 15.31
10/07/2014, 16.39, 17.85, 15.84, 16.90
10/08/2014, 17.93, 18.62, 14.57, 14.59
10/09/2014, 15.50, 22.55, 15.12, 21.62
10/10/2014, 20.43, 23.04, 18.65, 21.95
10/13/2014, 23.29, 27.25, 21.41, 27.22
10/14/2014, 26.16, 26.93, 23.15, 24.61
10/15/2014, 30.18, 39.62, 26.95, 31.12
10/16/2014, 35.60, 35.63, 29.27, 30.48
10/17/2014, 25.29, 26.98, 22.37, 23.81
10/20/2014, 25.82, 25.96, 19.38, 19.45
10/21/2014, 18.13, 18.30, 16.38, 16.38
10/22/2014, 16.57, 19.49, 15.88, 18.36
10/23/2014, 15.77, 17.72, 15.29, 16.12
10/24/2014, 16.52, 17.88, 14.76, 14.76
10/27/2014, 17.93, 18.54, 16.01, 16.09
10/28/2014, 15.97, 16.02, 14.39, 14.39
10/29/2014, 15.00, 17.06, 14.23, 14.90
10/30/2014, 15.12, 15.70, 11.56, 14.00
10/31/2014, 13.80, 15.02, 13.64, 13.80
11/03/2014, 14.55, 15.36, 14.31, 14.77
11/04/2014, 15.02, 15.97, 14.73, 14.81
11/05/2014, 13.90, 14.55, 13.28, 13.35
11/06/2014, 13.71, 14.45, 12.65, 12.65
11/07/2014, 12.54, 13.16, 11.09, 11.13
11/10/2014, 11.65, 13.03, 11.32, 11.32
11/11/2014, 11.77, 12.06, 11.29, 11.54
11/12/2014, 13.14, 16.44, 11.38, 11.39
11/13/2014, 11.80, 12.81, 11.13, 11.97
11/14/2014, 11.72, 12.88, 11.30, 11.35
11/17/2014, 12.79, 12.84, 11.40, 11.42
11/18/2014, 11.20, 11.51, 10.43, 11.49
11/19/2014, 11.46, 12.37, 10.78, 11.42
11/20/2014, 12.15, 12.19, 10.78, 10.91
11/21/2014, 10.81, 11.59, 10.42, 10.45
11/24/2014, 11.56, 11.85, 11.00, 11.15
11/25/2014, 11.11, 11.84, 10.80, 10.81
11/26/2014, 11.00, 11.57, 10.82, 11.12
11/28/2014, 11.81, 13.48, 11.50, 12.98
12/01/2014, 14.34, 15.39, 14.04, 14.63
12/02/2014, 14.20, 14.24, 12.56, 12.57
12/03/2014, 12.53, 12.69, 11.87, 12.16
12/04/2014, 12.30, 13.10, 11.69, 11.88
12/05/2014, 11.53, 12.62, 10.32, 10.70
12/08/2014, 13.16, 17.84, 11.74, 15.47
12/09/2014, 18.93, 20.62, 15.15, 15.27
12/10/2014, 15.90, 27.23, 15.90, 21.71
12/11/2014, 20.10, 22.08, 16.93, 22.08
12/12/2014, 23.28, 26.12, 19.88, 23.82
12/15/2014, 21.16, 25.47, 20.23, 21.16
12/16/2014, 23.22, 24.45, 18.54, 24.25
12/17/2014, 23.80, 24.56, 17.70, 18.04
12/18/2014, 15.94, 16.34, 14.06, 14.46
12/19/2014, 14.23, 14.57, 13.02, 13.77
12/22/2014, 14.34, 14.64, 12.47, 12.70
12/23/2014, 11.87, 12.43, 10.93, 11.10
12/24/2014, 10.92, 11.01, 9.94, 10.35
12/26/2014, 11.45, 12.54, 11.12, 12.09
12/29/2014, 14.72, 14.84, 12.47, 12.79
12/30/2014, 13.98, 14.28, 13.18, 13.86
12/31/2014, 13.65, 20.12, 13.62, 18.95
01/02/2015, 16.85, 20.19, 16.01, 16.47
01/05/2015, 19.34, 21.71, 19.26, 19.45
01/06/2015, 19.88, 22.96, 18.62, 20.53
01/07/2015, 18.59, 19.58, 17.52, 17.59
01/08/2015, 15.97, 16.37, 15.04, 15.04
01/09/2015, 13.89, 17.26, 13.89, 15.20
01/12/2015, 16.86, 20.10, 16.81, 18.20
01/13/2015, 16.45, 21.18, 15.65, 19.63
01/14/2015, 23.55, 23.77, 21.20, 21.23
01/15/2015, 21.69, 25.23, 21.20, 23.73
01/16/2015, 23.98, 24.91, 21.48, 21.48
01/20/2015, 22.56, 24.84, 21.87, 21.94
01/21/2015, 22.62, 23.39, 20.19, 20.36
01/22/2015, 19.00, 20.77, 15.20, 15.58
01/23/2015, 16.34, 16.89, 14.47, 16.08
01/26/2015, 17.47, 18.20, 14.89, 14.89
01/27/2015, 18.22, 19.12, 16.39, 17.56
01/28/2015, 17.11, 27.85, 17.00, 21.78
01/29/2015, 21.59, 22.97, 18.78, 18.78
01/30/2015, 20.69, 22.76, 19.54, 21.17
02/02/2015, 21.47, 24.12, 19.14, 19.39
02/03/2015, 18.17, 18.90, 16.45, 16.54
02/04/2015, 17.22, 17.49, 15.41, 17.48
02/05/2015, 16.28, 16.48, 15.31, 15.31
02/06/2015, 14.69, 16.97, 13.79, 14.93
02/09/2015, 18.13, 18.14, 16.37, 16.88
02/10/2015, 15.62, 16.54, 14.66, 15.20
02/11/2015, 15.19, 15.87, 14.28, 14.28
02/12/2015, 13.36, 13.93, 12.36, 12.36
02/13/2015, 12.61, 12.80, 11.76, 11.76
02/17/2015, 14.11, 14.86, 12.95, 13.55
02/18/2015, 14.18, 14.25, 12.39, 12.40
02/19/2015, 13.18, 13.47, 12.20, 12.34
02/20/2015, 13.01, 13.66, 11.74, 11.74
02/23/2015, 13.43, 13.68, 12.15, 12.16
02/24/2015, 12.20, 12.54, 10.60, 10.94
02/25/2015, 11.10, 12.18, 10.44, 11.64
02/26/2015, 11.56, 12.37, 11.18, 11.38
02/27/2015, 11.67, 11.88, 10.60, 10.60
03/02/2015, 11.86, 11.90, 10.71, 10.85
03/03/2015, 11.35, 12.99, 11.21, 11.81
03/04/2015, 12.54, 14.02, 12.12, 12.28
03/05/2015, 12.24, 12.87, 11.97, 12.16
03/06/2015, 13.16, 15.16, 12.64, 14.31
03/09/2015, 15.64, 15.64, 13.95, 14.20
03/10/2015, 16.34, 16.95, 15.62, 16.72
03/11/2015, 16.39, 17.13, 16.12, 16.78
03/12/2015, 16.28, 16.28, 14.95, 15.04
03/13/2015, 14.93, 16.90, 14.92, 15.25
03/16/2015, 15.78, 16.30, 15.53, 16.15
03/17/2015, 16.95, 17.48, 16.22, 16.72
03/18/2015, 17.74, 18.40, 13.36, 13.85
03/19/2015, 14.16, 14.58, 12.66, 12.89
03/20/2015, 12.20, 12.21, 10.55, 10.73
03/23/2015, 12.00, 12.03, 11.33, 12.03
03/24/2015, 11.99, 12.37, 10.67, 12.24
03/25/2015, 12.13, 15.43, 12.05, 15.28
03/26/2015, 17.04, 18.01, 15.43, 15.92
03/27/2015, 15.89, 16.04, 14.64, 14.69
03/30/2015, 14.98, 14.98, 14.01, 14.31
03/31/2015, 15.31, 15.89, 13.51, 15.50
04/01/2015, 15.22, 17.26, 14.18, 14.29
04/02/2015, 14.54, 14.75, 13.11, 13.91
04/06/2015, 15.99, 16.06, 13.68, 14.16
04/07/2015, 13.88, 14.05, 12.96, 13.90
04/08/2015, 13.81, 14.02, 12.80, 12.80
04/09/2015, 13.04, 13.56, 11.41, 11.41
04/10/2015, 11.50, 11.56, 9.91, 9.91
04/13/2015, 11.28, 12.79, 10.95, 12.49
04/14/2015, 12.60, 13.44, 11.64, 11.72
04/15/2015, 11.56, 11.59, 10.51, 10.59
04/16/2015, 11.21, 11.65, 10.45, 10.74
04/17/2015, 12.60, 14.44, 12.21, 12.91
04/20/2015, 13.20, 13.20, 11.83, 12.62
04/21/2015, 11.99, 12.96, 11.90, 12.58
04/22/2015, 12.30, 13.50, 11.80, 11.83
04/23/2015, 12.49, 12.49, 11.28, 11.84
04/24/2015, 11.52, 12.11, 10.83, 10.86
04/27/2015, 11.75, 13.07, 11.75, 12.72
04/28/2015, 12.90, 14.19, 11.81, 11.87
04/29/2015, 13.54, 14.99, 12.49, 13.26
04/30/2015, 13.87, 16.07, 12.94, 15.06
05/01/2015, 13.98, 14.09, 11.75, 11.77
05/04/2015, 12.84, 13.37, 11.90, 12.01
05/05/2015, 12.74, 14.75, 12.04, 14.64
05/06/2015, 14.11, 17.80, 14.01, 16.05
05/07/2015, 16.48, 17.09, 15.27, 15.59
05/08/2015, 12.54, 12.54, 11.13, 11.32
05/11/2015, 12.82, 13.41, 12.11, 13.41
05/12/2015, 14.93, 15.67, 13.41, 13.82
05/13/2015, 13.28, 14.06, 12.43, 13.49
05/14/2015, 12.41, 12.74, 11.48, 11.59
05/15/2015, 11.12, 12.11, 10.68, 10.77
05/18/2015, 11.74, 11.99, 10.70, 11.01
05/19/2015, 11.22, 11.74, 10.49, 11.15
05/20/2015, 11.17, 11.65, 10.24, 10.48
05/21/2015, 11.04, 11.05, 9.80, 9.95
05/22/2015, 10.44, 10.51, 9.46, 9.60
05/26/2015, 12.47, 14.27, 12.13, 13.32
05/27/2015, 13.51, 13.86, 11.62, 11.93
05/28/2015, 12.39, 13.63, 12.22, 12.23
05/29/2015, 12.73, 14.42, 12.65, 13.67
06/01/2015, 14.05, 15.66, 12.96, 13.85
06/02/2015, 14.74, 15.54, 12.89, 13.99
06/03/2015, 13.04, 13.90, 12.34, 12.70
06/04/2015, 14.65, 16.28, 13.61, 15.02
06/05/2015, 15.24, 16.29, 13.68, 13.70
06/08/2015, 15.78, 16.24, 15.39, 15.89
06/09/2015, 15.93, 16.39, 14.77, 15.05
06/10/2015, 14.69, 14.80, 12.92, 13.32
06/11/2015, 12.96, 13.04, 12.14, 12.38
06/12/2015, 13.05, 14.36, 13.01, 14.16
06/15/2015, 17.09, 17.47, 16.08, 16.68
06/16/2015, 16.97, 17.19, 16.26, 16.29
06/17/2015, 16.06, 17.27, 14.26, 15.22
06/18/2015, 14.33, 14.33, 12.37, 13.11
06/19/2015, 13.03, 14.32, 12.67, 14.32
06/22/2015, 14.33, 14.33, 12.53, 13.15
06/23/2015, 12.64, 12.95, 11.90, 12.17
06/24/2015, 12.95, 14.81, 12.10, 14.81
06/25/2015, 13.75, 15.34, 13.67, 15.13
06/26/2015, 15.26, 16.81, 14.43, 15.49
06/29/2015, 19.34, 23.54, 17.78, 22.56
06/30/2015, 20.84, 23.31, 20.44, 20.93
07/01/2015, 18.93, 19.20, 17.17, 17.23
07/02/2015, 16.19, 18.90, 16.15, 17.97
07/06/2015, 20.00, 20.07, 16.65, 16.65
07/07/2015, 17.06, 19.68, 15.57, 15.91
07/08/2015, 17.66, 21.64, 17.57, 20.96
07/09/2015, 18.12, 22.06, 17.90, 22.06
07/10/2015, 18.33, 19.11, 17.11, 17.24
07/13/2015, 15.62, 15.63, 13.23, 13.32
07/14/2015, 13.15, 13.28, 11.46, 12.18
07/15/2015, 12.26, 13.51, 11.04, 12.40
07/16/2015, 10.91, 10.93, 10.01, 10.35
07/17/2015, 10.02, 10.32, 9.58, 9.72
07/20/2015, 10.75, 11.35, 10.04, 11.10
07/21/2015, 11.23, 12.01, 11.00, 11.32
07/22/2015, 12.01, 12.07, 11.18, 11.20
07/23/2015, 11.29, 12.84, 11.00, 11.91
07/24/2015, 12.04, 15.55, 12.04, 13.05
07/27/2015, 16.53, 17.74, 15.66, 16.61
07/28/2015, 15.66, 16.59, 13.46, 13.62
07/29/2015, 14.06, 14.12, 11.80, 12.18
07/30/2015, 12.62, 13.75, 11.06, 11.06
07/31/2015, 10.94, 11.83, 10.49, 10.67
08/03/2015, 12.19, 13.75, 11.61, 12.12
08/04/2015, 12.21, 12.82, 11.72, 12.42
08/05/2015, 10.87, 12.00, 10.24, 11.51
08/06/2015, 11.42, 14.44, 11.33, 13.66
08/07/2015, 13.39, 14.65, 13.04, 13.04
08/10/2015, 12.76, 12.76, 11.35, 11.44
08/11/2015, 13.30, 15.10, 12.56, 14.13
08/12/2015, 16.61, 18.53, 13.88, 14.27
08/13/2015, 14.02, 14.98, 12.66, 13.63
08/14/2015, 13.52, 13.88, 11.77, 11.77
08/17/2015, 14.07, 14.49, 11.17, 11.29
08/18/2015, 11.68, 12.52, 11.23, 12.14
08/19/2015, 13.71, 15.68, 12.08, 14.34
08/20/2015, 16.71, 21.44, 15.96, 20.88
08/21/2015, 25.78, 39.30, 23.23, 38.96
08/24/2015, 38.96, 81.94, 36.50, 54.61
08/25/2015, 39.50, 47.51, 32.98, 44.92
08/26/2015, 38.53, 45.75, 35.48, 37.88
08/27/2015, 32.27, 34.61, 27.29, 28.89
08/28/2015, 29.51, 32.65, 27.11, 27.11
08/31/2015, 29.50, 31.83, 26.18, 28.26
09/01/2015, 33.06, 34.37, 29.31, 31.21
09/02/2015, 28.37, 29.41, 23.15, 24.26
09/03/2015, 23.75, 25.06, 21.55, 23.99
09/04/2015, 26.67, 29.40, 24.90, 26.88
09/08/2015, 25.55, 27.48, 24.36, 24.42
09/09/2015, 24.30, 29.10, 24.30, 27.90
09/10/2015, 28.62, 30.24, 26.11, 26.11
09/11/2015, 27.31, 28.02, 23.28, 23.43
09/14/2015, 26.41, 27.48, 25.26, 25.52
09/15/2015, 25.38, 25.87, 23.49, 24.62
09/16/2015, 24.82, 25.23, 23.12, 23.75
09/17/2015, 24.68, 26.04, 17.50, 22.25
09/18/2015, 23.95, 24.61, 21.20, 21.78
09/21/2015, 22.69, 23.06, 19.60, 19.61
09/22/2015, 24.21, 25.69, 23.12, 23.45
09/23/2015, 23.49, 24.00, 21.45, 22.46
09/24/2015, 25.03, 26.83, 22.63, 24.22
09/25/2015, 21.31, 24.78, 21.23, 22.89
09/28/2015, 26.69, 31.13, 25.61, 30.26
09/29/2015, 29.55, 31.06, 27.96, 28.56
09/30/2015, 26.24, 27.37, 24.48, 25.70
10/01/2015, 22.84, 24.94, 21.91, 21.93
10/02/2015, 24.14, 24.51, 19.21, 19.35
10/05/2015, 19.88, 20.61, 18.56, 19.02
10/06/2015, 18.82, 19.80, 17.74, 18.19
10/07/2015, 17.19, 18.54, 16.32, 16.39
10/08/2015, 16.96, 17.49, 15.06, 15.47
10/09/2015, 14.89, 16.58, 14.20, 14.27
10/12/2015, 16.17, 16.43, 14.51, 14.73
10/13/2015, 15.99, 16.66, 14.48, 16.53
10/14/2015, 16.45, 18.19, 15.93, 16.90
10/15/2015, 16.72, 17.22, 13.84, 13.85
10/16/2015, 13.70, 14.55, 12.86, 12.89
10/19/2015, 14.88, 15.26, 13.64, 13.87
10/20/2015, 14.79, 15.68, 13.94, 15.01
10/21/2015, 14.58, 16.70, 14.18, 16.67
10/22/2015, 15.19, 15.72, 13.10, 13.10
10/23/2015, 13.57, 14.57, 12.79, 13.15
10/26/2015, 14.61, 15.64, 14.53, 15.20
10/27/2015, 16.28, 16.75, 15.39, 16.31
10/28/2015, 16.12, 21.12, 14.02, 14.57
10/29/2015, 15.26, 16.15, 14.26, 14.54
10/30/2015, 14.55, 15.28, 13.31, 14.31
11/02/2015, 15.38, 15.38, 12.94, 13.68
11/03/2015, 13.92, 14.08, 12.84, 13.81
11/04/2015, 12.96, 15.75, 12.87, 14.76
11/05/2015, 14.81, 16.33, 14.20, 14.22
11/06/2015, 13.59, 15.40, 12.54, 12.60
11/09/2015, 14.88, 17.87, 14.75, 16.39
11/10/2015, 16.74, 17.20, 14.10, 14.29
11/11/2015, 14.16, 15.68, 14.08, 15.60
11/12/2015, 16.77, 18.39, 15.87, 18.39
11/13/2015, 18.77, 21.34, 18.20, 20.43
11/16/2015, 21.11, 21.20, 16.29, 16.81
11/17/2015, 16.50, 18.32, 15.32, 17.02
11/18/2015, 16.56, 16.58, 13.33, 13.33
11/19/2015, 13.37, 14.28, 13.16, 13.62
11/20/2015, 12.98, 13.44, 12.40, 12.40
11/23/2015, 14.83, 15.10, 13.45, 14.07
11/24/2015, 16.06, 17.06, 14.39, 14.54
11/25/2015, 14.49, 15.05, 14.14, 14.35
11/27/2015, 14.75, 15.80, 13.94, 14.21
11/30/2015, 15.19, 17.37, 15.15, 16.60
12/01/2015, 15.57, 16.78, 13.95, 13.99
12/02/2015, 14.54, 17.10, 13.96, 15.97
12/03/2015, 16.01, 20.57, 15.97, 18.71
12/04/2015, 17.42, 17.81, 13.64, 13.65
12/07/2015, 15.94, 18.07, 15.88, 16.00
12/08/2015, 19.02, 20.09, 17.52, 18.81
12/09/2015, 19.77, 22.99, 18.08, 22.07
12/10/2015, 21.48, 22.08, 19.16, 20.42
12/11/2015, 23.34, 29.88, 22.94, 28.00
12/14/2015, 30.71, 34.18, 25.28, 25.78
12/15/2015, 24.04, 24.04, 22.29, 23.05
12/16/2015, 22.38, 24.70, 17.87, 18.81
12/17/2015, 15.90, 19.50, 15.85, 18.88
12/18/2015, 18.91, 20.16, 18.22, 19.38
12/21/2015, 19.16, 19.53, 17.55, 17.55
12/22/2015, 16.34, 17.07, 14.73, 15.06
12/23/2015, 14.39, 14.95, 13.20, 13.64
12/24/2015, 13.55, 13.75, 12.97, 13.47
12/28/2015, 16.76, 17.42, 15.76, 15.79
12/29/2015, 14.73, 16.33, 14.35, 14.74
12/30/2015, 15.01, 16.22, 15.01, 15.96
12/31/2015, 16.94, 18.10, 16.19, 17.52
01/04/2016, 24.72, 25.79, 21.34, 21.93
01/05/2016, 21.73, 22.09, 19.08, 19.37
01/06/2016, 22.37, 22.77, 20.11, 20.60
01/07/2016, 24.16, 27.58, 23.63, 26.19
01/08/2016, 23.00, 28.30, 22.58, 27.98
01/11/2016, 26.68, 28.34, 23.47, 24.21
01/12/2016, 23.06, 23.75, 21.42, 22.30
01/13/2016, 21.48, 26.87, 21.08, 25.57
01/14/2016, 25.21, 27.53, 23.68, 24.63
01/15/2016, 32.10, 35.47, 28.96, 29.60
01/19/2016, 28.83, 32.52, 28.43, 30.43
01/20/2016, 34.12, 38.55, 31.27, 32.85
01/21/2016, 32.40, 33.67, 28.20, 29.99
01/22/2016, 26.17, 26.29, 22.55, 22.59
01/25/2016, 25.03, 26.32, 23.48, 26.04
01/26/2016, 25.75, 26.00, 24.06, 24.25
01/27/2016, 25.22, 26.85, 23.51, 24.51
01/28/2016, 23.40, 25.26, 22.79, 23.40
01/29/2016, 22.47, 22.48, 18.85, 19.37
02/01/2016, 21.62, 22.30, 19.25, 19.68
02/02/2016, 21.59, 23.06, 21.35, 22.19
02/03/2016, 21.71, 25.20, 21.67, 22.35
02/04/2016, 23.21, 23.97, 21.56, 21.75
02/05/2016, 21.70, 23.87, 21.56, 22.96
02/08/2016, 26.57, 28.88, 25.99, 26.40
02/09/2016, 29.78, 30.28, 26.01, 26.84
02/10/2016, 25.64, 26.25, 23.96, 25.53
02/11/2016, 29.57, 30.04, 27.16, 27.36
02/12/2016, 26.00, 26.49, 22.15, 22.71
02/16/2016, 23.96, 24.61, 21.56, 21.81
02/17/2016, 20.98, 21.54, 20.07, 20.27
02/18/2016, 20.25, 20.70, 18.71, 19.53
02/19/2016, 20.57, 21.15, 18.18, 18.22
02/22/2016, 19.54, 19.70, 17.80, 18.39
02/23/2016, 19.04, 21.16, 18.66, 20.69
02/24/2016, 22.59, 23.34, 20.47, 20.72
02/25/2016, 20.47, 21.37, 17.79, 17.79
02/26/2016, 17.69, 19.22, 17.69, 18.56
02/29/2016, 20.57, 20.78, 18.77, 20.36
03/01/2016, 19.60, 20.00, 16.92, 17.04
03/02/2016, 17.55, 18.18, 15.03, 15.78
03/03/2016, 16.24, 16.74, 15.53, 15.91
03/04/2016, 15.83, 16.72, 14.86, 15.86
03/07/2016, 18.60, 18.74, 17.14, 17.66
03/08/2016, 19.33, 19.73, 18.45, 19.17
03/09/2016, 19.20, 19.95, 18.72, 18.79
03/10/2016, 18.33, 19.86, 16.98, 17.66
03/11/2016, 16.37, 16.72, 15.18, 15.20
03/14/2016, 16.54, 17.19, 15.66, 15.99
03/15/2016, 16.97, 17.25, 16.21, 16.46
03/16/2016, 17.20, 17.20, 14.02, 14.07
03/17/2016, 14.40, 14.40, 12.44, 13.05
03/18/2016, 12.76, 13.00, 12.32, 12.47
03/21/2016, 14.01, 14.27, 12.47, 12.77
03/22/2016, 13.89, 14.12, 12.64, 13.14
03/23/2016, 13.47, 13.90, 13.17, 13.36
03/24/2016, 15.27, 15.42, 12.33, 12.35
03/28/2016, 14.59, 15.08, 13.50, 14.07
03/29/2016, 14.70, 14.94, 12.06, 12.17
03/30/2016, 12.15, 12.34, 11.39, 11.87
03/31/2016, 12.09, 12.79, 11.67, 12.25
04/01/2016, 13.82, 13.84, 10.72, 10.92
04/04/2016, 12.40, 12.89, 11.82, 12.50
04/05/2016, 14.23, 14.53, 13.48, 13.96
04/06/2016, 14.43, 14.69, 12.15, 12.56
04/07/2016, 14.09, 16.15, 13.40, 15.20
04/08/2016, 14.09, 14.53, 12.97, 13.59
04/11/2016, 14.28, 15.60, 13.64, 15.59
04/12/2016, 15.20, 16.02, 13.71, 13.71
04/13/2016, 13.59, 13.59, 12.30, 12.45
04/14/2016, 12.76, 12.91, 11.84, 12.32
04/15/2016, 12.52, 12.98, 12.18, 12.20
04/18/2016, 14.50, 14.50, 12.70, 12.86
04/19/2016, 12.96, 13.76, 12.69, 12.86
04/20/2016, 12.41, 13.04, 12.19, 12.80
04/21/2016, 12.90, 13.63, 12.78, 13.18
04/22/2016, 13.29, 13.43, 11.73, 11.93
04/25/2016, 14.07, 14.49, 13.53, 13.62
04/26/2016, 13.54, 14.06, 13.14, 13.50
04/27/2016, 14.12, 14.64, 12.42, 12.81
04/28/2016, 13.76, 15.05, 12.18, 14.55
04/29/2016, 15.33, 17.07, 14.77, 14.79
05/02/2016, 15.85, 15.90, 13.59, 13.77
05/03/2016, 15.48, 16.37, 14.60, 15.17
05/04/2016, 16.28, 16.72, 15.32, 15.47
05/05/2016, 15.40, 16.16, 15.02, 15.37
05/06/2016, 15.67, 15.74, 13.20, 13.38
05/09/2016, 14.85, 14.98, 13.51, 13.86
05/10/2016, 13.19, 13.32, 12.75, 12.80
05/11/2016, 12.71, 13.75, 12.55, 13.75
05/12/2016, 13.01, 15.16, 12.91, 13.46
05/13/2016, 13.75, 14.68, 12.66, 14.15
05/16/2016, 15.91, 15.91, 13.24, 13.59
05/17/2016, 14.00, 15.93, 13.50, 15.11
05/18/2016, 15.45, 16.50, 14.15, 15.34
05/19/2016, 16.32, 17.48, 15.28, 15.28
05/20/2016, 14.66, 14.66, 12.62, 12.73
05/23/2016, 14.49, 14.49, 13.15, 13.60
05/24/2016, 13.17, 13.22, 11.75, 11.91
05/25/2016, 11.73, 11.75, 11.24, 11.41
05/26/2016, 11.41, 11.83, 10.46, 10.46
05/27/2016, 10.69, 11.16, 9.73, 9.77
05/31/2016, 11.66, 13.05, 11.45, 11.85
06/01/2016, 12.86, 13.26, 11.60, 11.61
06/02/2016, 12.51, 12.73, 10.99, 11.01
06/03/2016, 11.47, 12.27, 9.97, 10.11
06/06/2016, 11.68, 12.01, 11.03, 11.26
06/07/2016, 11.27, 11.65, 10.98, 11.56
06/08/2016, 11.54, 11.68, 10.61, 10.89
06/09/2016, 12.05, 12.42, 11.90, 12.23
06/10/2016, 14.22, 16.37, 14.11, 15.83
06/13/2016, 19.94, 23.13, 19.17, 22.94
06/14/2016, 24.91, 25.46, 21.97, 23.35
06/15/2016, 23.45, 23.72, 18.71, 22.60
06/16/2016, 24.86, 26.94, 21.48, 21.89
06/17/2016, 22.16, 22.81, 21.21, 22.00
06/20/2016, 20.51, 22.59, 19.61, 22.21
06/21/2016, 21.90, 23.13, 21.45, 22.47
06/22/2016, 22.97, 27.93, 22.19, 27.86
06/23/2016, 22.96, 23.56, 20.89, 21.13
06/24/2016, 29.89, 31.34, 23.34, 30.71
06/27/2016, 30.04, 30.86, 24.08, 25.06
06/28/2016, 22.12, 22.12, 18.74, 19.08
06/29/2016, 17.64, 17.73, 14.97, 15.86
06/30/2016, 15.22, 15.50, 12.86, 14.05
07/01/2016, 13.11, 13.17, 11.82, 11.85
07/05/2016, 14.73, 15.33, 14.02, 14.19
07/06/2016, 15.44, 16.19, 13.15, 13.18
07/07/2016, 13.21, 14.37, 12.49, 13.11
07/08/2016, 11.74, 12.07, 11.15, 11.43
07/11/2016, 12.21, 12.76, 11.98, 12.23
07/12/2016, 11.60, 12.87, 11.60, 12.25
07/13/2016, 12.32, 12.61, 10.91, 11.11
07/14/2016, 11.76, 11.77, 10.61, 10.93
07/15/2016, 10.66, 10.91, 9.71, 10.26
07/18/2016, 11.68, 11.73, 10.93, 10.99
07/19/2016, 11.26, 11.80, 10.96, 11.02
07/20/2016, 10.80, 11.09, 10.24, 10.43
07/21/2016, 10.80, 12.24, 10.41, 11.50
07/22/2016, 11.33, 11.58, 10.02, 10.22
07/25/2016, 12.04, 13.09, 11.87, 11.93
07/26/2016, 12.24, 12.91, 11.83, 11.98
07/27/2016, 11.70, 13.09, 11.18, 11.61
07/28/2016, 11.84, 12.54, 11.32, 11.79
07/29/2016, 11.14, 11.50, 9.90, 10.01
08/01/2016, 11.33, 11.97, 10.72, 11.10
08/02/2016, 11.55, 13.53, 11.47, 12.35
08/03/2016, 12.65, 13.02, 11.10, 11.29
08/04/2016, 11.03, 11.46, 10.43, 10.80
08/05/2016, 9.92, 9.96, 9.00, 9.18
08/08/2016, 10.65, 10.65, 10.05, 10.10
08/09/2016, 9.87, 10.78, 9.36, 10.49
08/10/2016, 10.41, 11.27, 10.28, 10.68
08/11/2016, 10.32, 10.54, 9.67, 9.74
08/12/2016, 10.42, 10.42, 9.26, 9.54
08/15/2016, 10.44, 10.45, 9.62, 9.72
08/16/2016, 10.34, 11.21, 10.22, 10.87
08/17/2016, 10.98, 13.21, 10.57, 10.76
08/18/2016, 10.85, 11.16, 9.71, 9.90
08/19/2016, 10.37, 10.99, 9.25, 9.40
08/22/2016, 11.98, 12.14, 10.71, 10.95
08/23/2016, 10.39, 11.38, 10.18, 11.37
08/24/2016, 11.58, 13.81, 11.43, 12.67
08/25/2016, 13.34, 13.53, 12.21, 12.77
08/26/2016, 12.66, 14.09, 10.38, 12.10
